name,span,matches,innings,overs,maiden_overs,runs_conceded,wickets,best_bowling_figure,average,economy_rate,bowling_strike_rate,four_wickets_haul,five_wickets_haul
PWA Mulder (SA),2017-2023,15,15,74.0,0,422,12,2/59,35.16,5.70,37.0,0,0
Nasum Ahmed (BAN),2022-2023,15,14,121.1,12,550,12,3/19,45.83,4.53,60.5,0,0
SO Ngoche (KENYA),2010-2014,14,13,94.5,3,431,12,2/28,35.91,4.54,47.4,0,0
AH Omarshah (ZIM),1992-1996,19,18,132.0,12,593,12,3/33,49.41,4.49,66.0,0,0
MA Parker (SCOT),2010-2010,10,10,69.0,6,327,12,4/33,27.25,4.73,34.5,1,0
RG Petrie (NZ),1990-1991,12,12,110.0,7,449,12,2/25,37.41,4.08,55.0,0,0
GD Phillips (NZ),2022-2023,30,20,77.0,1,471,12,3/37,39.25,6.11,38.5,0,0
JD Ryder (NZ),2008-2014,48,19,67.5,0,412,12,3/29,34.33,6.07,33.9,0,0
Tanzim Hasan Sakib (BAN),2023-2024,7,7,55.1,3,311,12,3/14,25.91,5.63,27.5,0,0
SR Thompson (IRE),2013-2017,20,16,93.1,1,490,12,2/17,40.83,5.25,46.5,0,0
AJ Tye (AUS),2018-2018,7,7,64.3,1,392,12,5/46,32.66,6.07,32.2,0,1
KEA Upashantha (SL),1995-2001,12,12,94.0,6,481,12,4/37,40.08,5.11,47.0,1,0
T van der Gugten (NED),2012-2021,8,8,54.0,7,195,12,5/24,16.25,3.61,27.0,0,1
RR Watson (SCOT),2006-2010,35,17,95.0,3,528,12,3/18,44.00,5.55,47.5,0,0
CL White (AUS),2005-2018,91,19,55.1,2,351,12,3/5,29.25,6.36,27.5,0,0
PJ Wiseman (NZ),1998-2003,15,13,75.0,0,368,12,4/45,30.66,4.90,37.5,1,0
Aamer Nazir (PAK),1993-1995,9,9,69.3,1,346,11,3/43,31.45,4.97,37.9,0,0
VR Aaron (IND),2011-2014,9,9,63.2,1,419,11,3/24,38.09,6.61,34.5,0,0
RW Ali (KENYA),1996-1997,9,9,56.2,4,255,11,3/17,23.18,4.52,30.7,0,0
Amir Hayat (UAE),2018-2019,9,9,74.5,4,382,11,3/19,34.72,5.10,40.8,0,0
AAP Atkinson (ENG),2023-2023,9,9,63.4,0,388,11,2/28,35.27,6.09,34.7,0,0
LS Baker (WI),2008-2009,10,9,71.0,6,355,11,3/47,32.27,5.00,38.7,0,0
K Bhurtel (NEP),2021-2024,52,14,53.0,1,257,11,4/20,23.36,4.84,28.9,1,0
R Clarke (ENG),2003-2006,20,14,78.1,3,415,11,2/28,37.72,5.30,42.6,0,0
HT Davis (NZ),1994-1997,11,11,72.0,1,436,11,4/35,39.63,6.05,39.2,1,0
N Dhamba (OMA),2021-2022,10,9,58.0,3,242,11,3/20,22.00,4.17,31.6,0,0
JA Duffy (NZ),2022-2023,6,6,47.4,1,321,11,3/51,29.18,6.73,26.0,0,0
Z Groenewald (NAM),2019-2019,4,4,33.0,3,130,11,5/20,11.81,3.93,18.0,0,1
HF Gurney (ENG),2014-2014,10,10,75.5,4,432,11,4/55,39.27,5.69,41.3,1,0
Haris Sohail (PAK),2013-2023,45,21,107.0,0,613,11,3/45,55.72,5.72,58.3,0,0
Haseeb Amjad (HKG),2014-2016,7,7,57.0,7,288,11,3/49,26.18,5.05,31.0,0,0
DW Headley (ENG),1996-1999,13,13,99.0,2,520,11,2/38,47.27,5.25,54.0,0,0
D Heyliger (CAN),2023-2024,8,8,69.0,0,336,11,4/47,30.54,4.86,37.6,1,0
RL Johnson (ENG),2003-2003,10,9,67.0,7,239,11,3/22,21.72,3.56,36.5,0,0
NM Kulkarni (IND),1997-1998,10,8,67.0,3,357,11,3/27,32.45,5.32,36.5,0,0
RT Latham (NZ),1990-1994,33,21,75.0,2,386,11,5/32,35.09,5.14,40.9,0,1
CS MacLeod (SCOT),2008-2022,88,41,161.2,4,836,11,2/26,76.00,5.18,88.0,0,0
A Martin (WI),2011-2011,9,9,74.0,5,296,11,4/36,26.90,4.00,40.3,1,0
EZ Matambanadzo (ZIM),1996-1997,7,7,49.3,1,217,11,4/32,19.72,4.38,27.0,1,0
M Mbangwa (ZIM),1996-2002,29,29,228.1,11,1140,11,2/24,103.63,4.99,124.4,0,0
RL Powell (WI),1999-2005,109,25,78.5,3,491,11,2/5,44.63,6.22,43.0,0,0
TT Samaraweera (SL),1998-2011,53,17,117.0,2,542,11,3/34,49.27,4.63,63.8,0,0
Shafiuddin Ahmed (BAN),1997-2000,11,11,82.3,3,426,11,3/42,38.72,5.16,45.0,0,0
SM Sharma (UAE),2023-2024,10,10,57.0,5,323,11,3/37,29.36,5.66,31.0,0,0
K Sinclair (WI),2022-2023,7,7,63.3,1,282,11,4/24,25.63,4.44,34.6,2,0
JTS Sumerauer (JER),2023-2023,5,5,49.0,5,245,11,4/51,22.27,5.00,26.7,1,0
DLS van Bunge (NED),2002-2013,37,13,55.1,1,329,11,3/16,29.90,5.96,30.0,0,0
A van der Merwe (IRE),2010-2011,9,9,72.0,2,323,11,5/49,29.36,4.48,39.2,0,1
AS Wassan (IND),1990-1991,9,9,71.0,0,283,11,3/28,25.72,3.98,38.7,0,0
M Zondeki (Afr/SA),2002-2008,13,12,93.0,8,504,11,2/40,45.81,5.41,50.7,0,0
Rehan Ahmed (ENG),2023-2023,6,5,47.0,2,233,10,4/54,23.30,4.95,28.2,1,0
Ali Naseer (UAE),2023-2023,9,9,70.2,2,396,10,2/37,39.60,5.63,42.2,0,0
MW Alleyne (ENG),1999-2000,10,9,61.0,1,280,10,3/27,28.00,4.59,36.6,0,0
SA Ankola (IND),1993-1997,17,17,124.0,3,562,10,3/33,56.20,4.53,74.4,0,0
MA Aponso (SL),2016-2018,9,9,70.3,1,377,10,4/18,37.70,5.34,42.3,1,0
Arshdeep Singh (IND),2022-2023,6,5,40.1,2,184,10,5/37,18.40,4.58,24.1,1,1
TD Astle (NZ),2017-2019,9,8,45.0,1,246,10,3/33,24.60,5.46,27.0,0,0
S Bau (PNG),2016-2023,57,23,118.2,1,576,10,2/35,57.60,4.86,71.0,0,0
DJ Callaghan (SA),1992-2000,29,19,74.0,2,365,10,3/32,36.50,4.93,44.4,0,0
A Codrington (CAN),2003-2007,9,8,50.0,4,265,10,5/27,26.50,5.30,30.0,0,1
M de Lange (SA),2012-2016,4,4,34.5,1,198,10,4/46,19.80,5.68,20.9,1,0
R Dhanraj (WI),1994-1995,6,5,44.0,2,170,10,4/26,17.00,3.86,26.4,1,0
NT Ellis (AUS),2022-2023,8,8,64.0,1,382,10,2/13,38.20,5.96,38.4,0,0
BE Hendricks (SA),2019-2023,10,8,64.2,2,346,10,3/59,34.60,5.37,38.6,0,0
Jay Odedra (OMA),2019-2023,9,9,58.0,2,258,10,4/34,25.80,4.44,34.8,1,0
NG Jones (IRE),2010-2011,14,13,64.5,6,234,10,2/19,23.40,3.60,38.9,0,0
DK Liyanage (SL),1992-2001,16,16,107.0,5,510,10,3/49,51.00,4.76,64.2,0,0
B Mavuta (ZIM),2018-2023,12,10,66.0,0,349,10,2/30,34.90,5.28,39.6,0,0
Mohammad Sharif (BAN),2001-2007,9,9,83.1,5,424,10,3/40,42.40,5.09,49.9,0,0
Mohammad Zahid (PAK),1996-2002,11,11,85.2,8,391,10,2/20,39.10,4.58,51.2,0,0
D Mohammed (WI),2006-2008,7,6,58.5,5,235,10,3/37,23.50,3.99,35.3,0,0
Naimur Rahman (BAN),1995-2002,29,24,182.2,6,904,10,2/51,90.40,4.95,109.4,0,0
RJ Nicol (NZ),2011-2013,22,17,56.3,1,329,10,4/19,32.90,5.82,33.9,1,0
H Patel (CAN),2009-2013,23,16,68.1,3,353,10,4/28,35.30,5.17,40.9,1,0
IH Romaine (BER),2006-2009,35,13,54.2,0,355,10,2/22,35.50,6.53,32.6,0,0
RL Sanghvi (IND),1998-1998,10,10,83.0,1,399,10,3/29,39.90,4.80,49.8,0,0
Sanuar Hossain (BAN),1998-2003,27,13,63.5,1,327,10,3/49,32.70,5.12,38.3,0,0
OF Smith (WI),2022-2023,9,9,47.1,0,261,10,2/26,26.10,5.53,28.3,0,0
TB Sole (SCOT),2018-2019,10,10,84.0,7,387,10,4/15,38.70,4.60,50.4,1,0
MN Waller (ZIM),2009-2018,79,30,111.0,0,566,10,2/44,56.60,5.09,66.6,0,0
KIW Wijegunawardene (SL),1990-1992,14,13,99.0,4,570,10,2/34,57.00,5.75,59.4,0,0
Ziaur Rahman (BAN),2013-2014,13,11,65.0,1,301,10,5/30,30.10,4.63,39.0,0,1
CN Ackermann (NED),2021-2023,16,16,91.2,3,451,9,2/39,50.11,4.93,60.8,0,0
MKDI Amerasinghe (SL),2007-2008,8,8,71.0,6,363,9,3/44,40.33,5.11,47.3,0,0
Amjad Javed (UAE),2008-2017,15,15,103.0,4,608,9,3/60,67.55,5.90,68.6,0,0
Avesh Khan (IND),2022-2023,8,8,59.2,5,329,9,4/27,36.55,5.54,39.5,1,0
ML Cummins (WI),2014-2017,11,9,75.0,3,474,9,3/82,52.66,6.32,50.0,0,0
MH Dekker (ZIM),1992-1996,23,12,57.5,0,290,9,2/16,32.22,5.01,38.5,0,0
PLS Gamage (SL),2014-2017,9,9,67.0,3,392,9,4/57,43.55,5.85,44.6,1,0
BD Glover (NED),2019-2023,9,9,73.0,2,444,9,3/43,49.33,6.08,48.6,0,0
Sir RJ Hadlee (NZ),1990-1990,6,6,60.2,13,224,9,2/27,24.88,3.71,40.2,0,0
Javed Ahmadi (AFG),2010-2021,47,19,75.2,0,363,9,4/37,40.33,4.81,50.2,1,0
P Khadka (NEP),2018-2020,10,9,62.0,2,243,9,4/26,27.00,3.91,41.3,1,0
Khaliq Dad (AFG),2009-2010,6,6,42.0,4,150,9,3/30,16.66,3.57,28.0,0,0
RJ Kirtley (ENG),2001-2004,11,11,91.3,4,481,9,2/33,53.44,5.25,61.0,0,0
T Kumaran (IND),1999-2000,8,8,63.0,4,348,9,3/24,38.66,5.52,42.0,0,0
RP Lefebvre (NED),1996-2003,11,11,89.0,6,346,9,2/38,38.44,3.88,59.3,0,0
AS Luseno (KENYA),2003-2010,10,10,55.0,1,316,9,4/32,35.11,5.74,36.6,1,0
MW Machan (SCOT),2013-2016,23,16,67.0,2,384,9,3/31,42.66,5.73,44.6,0,0
Manzoor Elahi (PAK),1990-1995,8,8,71.0,2,283,9,3/36,31.44,3.98,47.3,0,0
Mohammad Kashif (NED),2006-2010,11,11,75.0,4,410,9,3/42,45.55,5.46,50.0,0,0
Mohammad Shahzad (UAE),2014-2016,6,6,40.0,3,233,9,4/26,25.88,5.82,26.6,1,0
Mohammad Tauqir (UAE),2004-2015,11,11,81.5,1,383,9,2/38,42.55,4.68,54.5,0,0
DT Mutendera (ZIM),1999-2001,9,9,65.0,4,334,9,3/23,37.11,5.13,43.3,0,0
Noor Ahmad (AFG),2022-2024,10,10,85.0,1,515,9,3/49,57.22,6.05,56.6,0,0
JL Ontong (Afr/SA),2001-2012,28,16,89.4,3,396,9,3/30,44.00,4.41,59.7,0,0
RK Paudel (NEP),2018-2024,61,10,51.5,3,194,9,4/22,21.55,3.74,34.5,1,0
CW Perchard (JER),2023-2023,5,5,45.0,3,208,9,3/38,23.11,4.62,30.0,0,0
Saqib Zulfiqar (NED),2019-2023,15,12,52.0,1,336,9,2/43,37.33,6.46,34.6,0,0
RG Sharma (IND),2007-2023,262,39,99.4,2,522,9,2/27,58.00,5.23,66.4,0,0
TG Shaw (SA),1991-1994,9,9,84.0,3,298,9,2/19,33.11,3.54,56.0,0,0
TAM Siriwardana (SL),2015-2019,27,21,100.1,2,547,9,2/27,60.77,5.46,66.7,0,0
MC Snedden (NZ),1990-1990,8,7,59.0,7,217,9,3/32,24.11,3.67,39.3,0,0
S Sriram (IND),2000-2004,8,8,54.0,1,274,9,3/43,30.44,5.07,36.0,0,0
ML Su'a (NZ),1992-1995,12,12,77.1,6,367,9,4/59,40.77,4.75,51.4,1,0
BRM Taylor (ZIM),2004-2021,205,21,66.0,0,406,9,3/54,45.11,6.15,44.0,0,0
AJ Traicos (ZIM),1992-1993,15,14,128.0,7,567,9,3/35,63.00,4.42,85.3,0,0
SD Udal (ENG),1994-2005,11,11,102.0,4,400,9,2/37,44.44,3.92,68.0,0,0
JD Unadkat (IND),2013-2023,8,8,57.0,5,225,9,4/41,25.00,3.94,38.0,1,0
RM West (IRE),2008-2009,10,9,74.3,8,279,9,4/26,31.00,3.74,49.6,1,0
HS Williams (SA),1999-2000,7,7,54.5,2,228,9,3/38,25.33,4.15,36.5,0,0
KOK Williams (WI),2017-2018,8,7,55.0,0,293,9,4/43,32.55,5.32,36.6,1,0
Abdur Rauf (PAK),2008-2008,4,4,35.4,1,212,8,3/24,26.50,5.94,26.7,0,0
RG Aga (KENYA),2004-2014,12,11,67.0,2,320,8,2/17,40.00,4.77,50.2,0,0
XC Bartlett (AUS),2024-2024,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0
SL Campbell (WI),1994-2001,90,8,32.4,0,170,8,4/30,21.25,5.20,24.5,1,0
RP de Groen (NZ),1993-1994,12,12,91.3,4,478,8,2/34,59.75,5.22,68.6,0,0
EAR de Silva (SL),1990-1992,12,12,108.0,1,501,8,2/36,62.62,4.63,81.0,0,0
Dolar Mahmud (BAN),2008-2009,7,7,35.0,1,258,8,4/28,32.25,7.37,26.2,1,0
GA Gooch (ENG),1990-1995,49,14,97.0,4,399,8,2/23,49.87,4.11,72.7,0,0
AH Gray (WI),1991-1991,4,4,37.0,0,206,8,6/50,25.75,5.56,27.7,0,1
MD Gunathilaka (SL),2015-2022,47,22,67.0,1,371,8,3/48,46.37,5.53,50.2,0,0
Hazrat Bilal (UAE),2022-2023,7,7,45.0,4,212,8,4/47,26.50,4.71,33.7,1,0
MC Henriques (AUS),2009-2021,16,12,67.0,1,347,8,3/32,43.37,5.17,50.2,0,0
BC Hollioake (ENG),1997-2002,20,17,107.0,2,532,8,2/37,66.50,4.97,80.2,0,0
Irfan Ahmed (HKG),2008-2014,6,6,48.2,1,299,8,3/51,37.37,6.18,36.2,0,0
Izatullah Dawlatzai (AFG),2010-2015,5,5,35.0,4,146,8,4/38,18.25,4.17,26.2,1,0
DPMD Jayawardene (Asia/SL),1998-2015,448,28,98.5,1,563,8,2/56,70.37,5.69,74.1,0,0
MO Jones (BER),2006-2007,12,12,76.2,4,482,8,2/25,60.25,6.31,57.2,0,0
AR Kapoor (IND),1995-2000,17,17,150.0,5,612,8,2/33,76.50,4.08,112.5,0,0
JF Kloppenburg (NED),2002-2003,6,6,40.2,0,191,8,4/42,23.87,4.73,30.2,1,0
MKGCP Lakshitha (SL),2002-2003,7,7,50.0,2,254,8,2/34,31.75,5.08,37.5,0,0
ACI Lock (ZIM),1996-1996,8,7,48.1,4,219,8,5/44,27.37,4.54,36.1,0,1
JN Mohammed (WI),2011-2021,36,16,73.2,2,340,8,3/47,42.50,4.63,55.0,0,0
Nawroz Mangal (AFG),2009-2016,49,16,48.5,3,235,8,3/35,29.37,4.81,36.6,0,0
NM Odhiambo (KENYA),2010-2013,8,7,53.0,6,256,8,3/48,32.00,4.83,39.7,0,0
AA Paradkar (USA),2021-2023,4,4,24.0,2,159,8,4/26,19.87,6.62,18.0,1,0
SG Peall (ZIM),1992-1996,21,19,150.0,5,678,8,3/54,84.75,4.52,112.5,0,0
V Permaul (WI),2012-2017,7,7,55.1,0,271,8,3/40,33.87,4.91,41.3,0,0
MW Priest (NZ),1990-1998,18,17,125.2,5,590,8,2/27,73.75,4.70,94.0,0,0
Qadeer Ahmed (UAE),2015-2019,11,11,86.0,2,467,8,2/38,58.37,5.43,64.5,0,0
JR Ratnayeke (SL),1990-1990,4,4,38.0,1,190,8,3/31,23.75,5.00,28.5,0,0
D Ravu (PNG),2017-2022,18,17,108.0,3,574,8,2/19,71.75,5.31,81.0,0,0
HP Rinke (ZIM),2006-2006,18,12,46.1,2,273,8,2/11,34.12,5.91,34.6,0,0
GR Robertson (AUS),1994-1998,13,13,99.3,1,430,8,3/29,53.75,4.32,74.6,0,0
GA Rogers (SCOT),2006-2008,13,11,85.2,5,409,8,2/22,51.12,4.79,64.0,0,0
OP Stone (ENG),2018-2023,8,7,53.0,2,317,8,4/85,39.62,5.98,39.7,1,0
AM Stuart (AUS),1997-1997,3,3,30.0,2,109,8,5/26,13.62,3.63,22.5,0,1
CEL Stuart (WI),2001-2001,5,5,43.0,3,205,8,5/44,25.62,4.76,32.2,0,1
RJ van Vuuren (NAM),2003-2003,5,5,50.0,5,298,8,5/43,37.25,5.96,37.5,0,1
BGK Walker (NZ),2000-2002,11,11,73.0,3,417,8,2/43,52.12,5.71,54.7,0,0
VJ Wells (ENG),1999-1999,9,8,36.4,3,189,8,3/30,23.62,5.15,27.5,0,0
BM Wheeler (NZ),2015-2015,6,6,51.3,3,315,8,3/63,39.37,6.11,38.6,0,0
SG Whittingham (SCOT),2017-2019,5,5,41.5,2,224,8,3/58,28.00,5.35,31.3,0,0
Zawar Farid (UAE),2020-2023,10,7,33.3,0,187,8,4/30,23.37,5.58,25.1,1,0
FA Allen (WI),2018-2022,20,18,111.0,0,627,7,2/40,89.57,5.64,95.1,0,0
Aminul Islam (BAN),1990-2002,36,17,60.4,0,376,7,3/57,53.71,6.19,52.0,0,0
Asif Mujtaba (PAK),1992-1996,59,24,110.0,1,568,7,2/38,81.14,5.16,94.2,0,0
SB Bangar (IND),2002-2004,15,14,73.4,2,384,7,2/39,54.85,5.21,63.1,0,0
OAC Banks (WI),2003-2005,5,5,45.0,1,189,7,2/24,27.00,4.20,38.5,0,0
RE Bryson (SA),1997-1997,7,7,63.0,1,323,7,2/34,46.14,5.12,54.0,0,0
GJ Crocker (ZIM),1992-1993,6,6,39.4,1,208,7,4/26,29.71,5.24,34.0,1,0
GJ Delany (IRE),2020-2023,21,13,65.0,0,410,7,2/52,58.57,6.30,55.7,0,0
AB de Villiers (Afr/SA),2005-2018,228,9,32.0,0,202,7,2/15,28.85,6.31,27.4,0,0
SC Getkate (IRE),2019-2021,4,4,32.0,2,145,7,2/30,20.71,4.53,27.4,0,0
AS Hansra (CAN),2010-2014,24,18,74.1,1,413,7,3/27,59.00,5.56,63.5,0,0
CW Henderson (SA),2001-2001,4,4,36.1,2,132,7,4/17,18.85,3.64,31.0,1,0
ND Hirwani (IND),1990-1992,6,6,54.0,4,232,7,2/34,33.14,4.29,46.2,0,0
AG Huckle (ZIM),1997-1999,19,18,143.0,4,661,7,2/27,94.42,4.62,122.5,0,0
MP Jarvis (ZIM),1992-1995,7,7,64.3,5,296,7,2/37,42.28,4.58,55.2,0,0
SP Jones (ENG),2004-2005,8,7,58.0,9,275,7,2/43,39.28,4.74,49.7,0,0
Kamran Shazad (UAE),2014-2015,4,4,37.0,1,209,7,3/41,29.85,5.64,31.7,0,0
JJ Krejza (AUS),2011-2011,8,8,70.5,0,331,7,2/28,47.28,4.67,60.7,0,0
Krishna Chandran (UAE),2014-2016,12,11,69.4,3,431,7,3/45,61.57,6.18,59.7,0,0
ML Lewis (AUS),2005-2006,7,7,56.5,1,391,7,3/56,55.85,6.87,48.7,0,0
Mahbubul Alam (BAN),2009-2009,5,5,37.0,2,280,7,2/42,40.00,7.56,31.7,0,0
Mominul Haque (BAN),2012-2018,28,12,39.0,1,190,7,2/13,27.14,4.87,33.4,0,0
EA Moseley (WI),1990-1991,9,8,55.0,2,278,7,2/52,39.71,5.05,47.1,0,0
CT Mumba (ZIM),2016-2020,7,7,45.2,0,326,7,3/69,46.57,7.19,38.8,0,0
C Munro (NZ),2013-2019,57,25,92.0,1,481,7,2/10,68.71,5.22,78.8,0,0
CT Mutombodzi (ZIM),2013-2020,14,11,61.5,0,359,7,2/33,51.28,5.80,53.0,0,0
T Muzarabani (ZIM),2015-2016,8,8,53.5,3,262,7,2/32,37.42,4.86,46.1,0,0
VM Nyauchi (ZIM),2022-2023,10,10,67.0,5,353,7,2/65,50.42,5.26,57.4,0,0
KP Pietersen (ENG/ICC),2004-2013,136,23,66.4,0,370,7,2/22,52.85,5.55,57.1,0,0
AM Samad (CAN),2003-2009,27,14,39.1,0,281,7,1/8,40.14,7.17,33.5,0,0
KD Shah (HKG),2014-2018,10,3,18.2,0,79,7,4/10,11.28,4.30,15.7,1,0
OA Shah (ENG),2001-2009,71,10,32.1,1,184,7,3/15,26.28,5.72,27.5,0,0
BB Sran (IND),2016-2016,6,6,50.2,2,269,7,3/56,38.42,5.34,43.1,0,0
B Stanlake (AUS),2017-2019,7,7,59.0,3,324,7,3/35,46.28,5.49,50.5,0,0
CP Tremain (AUS),2016-2016,4,4,40.0,0,255,7,3/64,36.42,6.37,34.2,0,0
TE Tucker (BER),2008-2009,5,5,29.0,0,157,7,4/56,22.42,5.41,24.8,1,0
Vikramjit Singh (NED),2022-2024,32,13,38.0,1,240,7,2/12,34.28,6.31,32.5,0,0
SL Watkin (ENG),1994-1994,4,4,36.5,2,193,7,4/49,27.57,5.23,31.5,1,0
Yamin Ahmadzai (AFG),2015-2022,9,8,56.4,4,304,7,2/34,43.42,5.36,48.5,0,0
Mohammad Aadil Alam (NEP),2022-2022,6,6,44.0,5,166,6,3/31,27.66,3.77,44.0,0,0
Aarif Sheikh (NEP),2018-2024,51,26,111.3,2,529,6,1/16,88.16,4.74,111.5,0,0
Aryan Lakra (UAE),2022-2023,16,12,53.0,4,280,6,3/38,46.66,5.28,53.0,0,0
ID Austin (ENG),1998-1999,9,9,79.1,2,360,6,2/25,60.00,4.54,79.1,0,0
Azhar Saeed (UAE),1994-1996,7,7,45.1,2,213,6,3/45,35.50,4.71,45.1,0,0
IR Bell (ENG),2004-2015,161,6,14.4,0,88,6,3/9,14.66,6.00,14.6,0,0
Bilawal Bhatti (PAK),2013-2015,10,10,68.1,4,439,6,3/37,73.16,6.44,68.1,0,0
GE Bradburn (NZ),1990-2001,11,10,64.1,5,318,6,2/18,53.00,4.95,64.1,0,0
LJ Burger (NAM),2003-2003,6,6,55.0,3,297,6,3/39,49.50,5.40,55.0,0,0
IP Butchart (ZIM),1992-1995,8,4,32.0,1,205,6,3/57,34.16,6.40,32.0,0,0
DDP D'Silva (UAE),2019-2020,6,5,31.0,3,118,6,3/22,19.66,3.80,31.0,0,0
N Deonarine (WI),2005-2015,31,20,83.3,2,475,6,2/18,79.16,5.68,83.5,0,0
LHD Dilhara (SL),2005-2013,9,8,55.0,3,261,6,2/30,43.50,4.74,55.0,0,0
SF Dukanwala (UAE),1996-1996,5,4,33.0,1,153,6,5/29,25.50,4.63,33.0,0,1
Fahad Alhashmi (UAE),2008-2015,5,5,37.2,2,202,6,2/39,33.66,5.41,37.3,0,0
KHRK Fernando (SL),2002-2006,7,7,39.0,4,159,6,3/12,26.50,4.07,39.0,0,0
BC Fortuin (SA),2020-2023,5,4,31.0,2,175,6,2/46,29.16,5.64,31.0,0,0
S Fouche (NAM),2023-2023,7,5,26.0,1,130,6,3/46,21.66,5.00,26.0,0,0
RO Hinds (WI),2001-2004,14,12,67.5,0,350,6,2/19,58.33,5.15,67.8,0,0
Imran Farhat (PAK),2001-2013,58,8,19.2,2,110,6,3/10,18.33,5.68,19.3,0,0
JNT Seales (WI),2022-2023,10,10,73.1,3,445,6,1/21,74.16,6.08,73.1,0,0
MMA Jonkman (NED),2007-2010,4,4,22.4,1,113,6,3/22,18.83,4.98,22.6,0,0
Karim Sadiq (AFG),2009-2016,24,12,53.2,3,201,6,2/10,33.50,3.76,53.3,0,0
J Kila (PNG),2018-2022,13,8,38.1,4,200,6,3/27,33.33,5.24,38.1,0,0
PN Kirsten (SA),1991-1994,40,8,30.3,1,152,6,3/31,25.33,4.98,30.5,0,0
MP Kuhnemann (AUS),2022-2022,4,4,38.0,3,191,6,2/26,31.83,5.02,38.0,0,0
BP Loots (NED),2010-2011,7,7,46.4,1,287,6,3/16,47.83,6.15,46.6,0,0
SCG MacGill (AUS),2000-2000,3,3,30.0,4,105,6,4/19,17.50,3.50,30.0,1,0
KO Meth (ZIM),2006-2012,11,9,67.4,2,419,6,2/52,69.83,6.19,67.6,0,0
PL Mommsen (SCOT),2010-2017,44,6,22.0,0,130,6,3/26,21.66,5.90,22.0,0,0
Muhammad Jawadullah (UAE),2023-2023,5,5,37.1,0,239,6,3/46,39.83,6.43,37.1,0,0
EO Odumbe (KENYA),1996-1996,8,7,22.5,1,137,6,2/8,22.83,6.00,22.8,0,0
TK Patel (USA),2019-2020,7,6,39.0,6,150,6,2/25,25.00,3.84,39.0,0,0
K Phillip (USA),2021-2023,5,5,40.3,2,245,6,3/43,40.83,6.04,40.5,0,0
N Pooran (WI),2019-2023,61,7,28.1,0,174,6,4/48,29.00,6.17,28.1,1,0
Qais Ahmad (AFG),2022-2024,3,3,21.4,0,133,6,3/32,22.16,6.13,21.6,0,0
RA Reifer (WI),2019-2023,6,5,26.5,0,149,6,2/23,24.83,5.55,26.8,0,0
MJR Rindel (SA),1994-1999,22,12,45.0,0,242,6,2/15,40.33,5.37,45.0,0,0
BG Rogers (ZIM),2002-2005,15,9,54.0,0,321,6,2/55,53.50,5.94,54.0,0,0
Saeed Anwar (PAK),1990-2003,240,13,40.2,3,191,6,2/9,31.83,4.73,40.3,0,0
Saiful Islam (BAN),1990-1997,7,7,50.3,3,256,6,4/36,42.66,5.06,50.5,1,0
NA Saini (IND),2019-2021,8,8,70.0,0,481,6,2/58,80.16,6.87,70.0,0,0
P Sarraf (NEP),2019-2024,12,10,53.4,3,251,6,2/45,41.83,4.67,53.6,0,0
R Sharma (IND),2011-2012,4,4,34.2,0,177,6,3/43,29.50,5.15,34.3,0,0
SK Sharma (IND),1990-1990,4,4,41.0,2,222,6,2/57,37.00,5.41,41.0,0,0
CEW Silverwood (ENG),1996-2001,7,7,51.0,0,244,6,3/43,40.66,4.78,51.0,0,0
G Singh (USA),2021-2023,32,5,18.5,1,95,6,4/15,15.83,5.04,18.8,1,0
NMK Smith (ENG),1996-1996,7,6,43.3,2,190,6,3/29,31.66,4.36,43.5,0,0
G Snyman (NAM),2003-2003,5,5,48.0,0,281,6,3/69,46.83,5.85,48.0,0,0
JH Stander (SCOT),2009-2012,5,4,25.0,2,166,6,2/25,27.66,6.64,25.0,0,0
Talha Jubair (BAN),2002-2003,6,6,34.0,2,255,6,4/65,42.50,7.50,34.0,1,0
HP Tillakaratne (SL),1990-2003,183,15,30.0,1,141,6,1/3,23.50,4.70,30.0,0,0
AC Voges (AUS),2007-2013,31,15,50.1,1,276,6,1/3,46.00,5.50,50.1,0,0
B Ward (JER),2023-2023,5,5,40.1,2,221,6,4/39,36.83,5.50,40.1,1,0
KPJ Warnaweera (SL),1990-1993,6,6,49.0,3,200,6,2/24,33.33,4.08,49.0,0,0
K Weeraratne (SL),2000-2008,15,14,80.0,6,385,6,3/46,64.16,4.81,80.0,0,0
Jai P Yadav (IND),2002-2005,12,10,66.0,4,326,6,2/32,54.33,4.93,66.0,0,0
Zahid Shah (UAE),2008-2008,2,2,20.0,1,98,6,3/49,16.33,4.90,20.0,0,0
Abu Jayed (BAN),2019-2019,2,2,18.0,0,114,5,5/58,22.80,6.33,21.6,0,1
Ammar Khalid (CAN),2024-2024,4,4,33.0,2,146,5,2/33,29.20,4.42,39.6,0,0
KIC Asalanka (SL),2021-2024,59,14,32.4,1,167,5,4/18,33.40,5.11,39.2,1,0
Athar Ali Khan (BAN),1990-1998,16,12,55.0,1,282,5,2/33,56.40,5.12,66.0,0,0
ST Banerjee (IND),1991-1992,6,6,40.0,4,202,5,3/30,40.40,5.05,48.0,0,0
GJ Batty (ENG),2002-2009,10,9,73.2,1,366,5,2/40,73.20,4.99,88.0,0,0
A Bhandari (IND),2000-2004,2,2,17.4,0,106,5,3/31,21.20,6.00,21.2,0,0
